"","verified","Score1","Score2","Score3","Score4","Score5","Score6","Score7","Credibility"
"32",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"33",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"34",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"35",FALSE,0,"high",2,"middle","low","low",2,"NC"
"36",FALSE,1,"low",2,"middle","high","high",1,"NC"
"37",FALSE,1,"high",2,"new","low","high",2,"NC"
"38",FALSE,1,"moderate",2,"new","moderate","high",2,"NC"
"39",FALSE,1,"high",2,"new","low","low",2,"NC"
"40",FALSE,1,"low",2,"middle","high","high",1,"NC"
"41",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"42",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"43",FALSE,1,"high",2,"new","moderate","high",2,"NC"
"44",FALSE,0,"moderate",2,"new","moderate","low",2,"NC"
"45",FALSE,1,"high",2,"middle","high","high",3,"HC"
"46",FALSE,1,"moderate",2,"new","moderate","high",3,"NC"
"47",FALSE,1,"high",2,"middle","low","high",2,"NC"
"48",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"49",FALSE,1,"moderate",2,"new","moderate","high",2,"NC"
"50",FALSE,1,"high",2,"new","moderate","moderate",2,"NC"
"51",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"52",FALSE,0,"high",2,"new","high","low",3,"NC"
"53",FALSE,1,"high",2,"middle","high","high",3,"HC"
"54",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"55",FALSE,0,"low",2,"new","low","low",2,"LC"
"56",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"57",FALSE,0,"low",2,"middle","high","high",1,"NC"
"58",FALSE,0,"low",2,"middle","high","high",1,"NC"
"59",FALSE,0,"low",2,"new","low","high",2,"LC"
"60",FALSE,1,"moderate",2,"new","low","high",2,"NC"
"61",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"62",FALSE,0,"high",2,"new","moderate","low",1,"NC"
"63",FALSE,1,"high",2,"new","moderate","high",1,"NC"
"64",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"65",FALSE,0,"low",2,"middle","high","low",1,"NC"
"66",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"67",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"68",FALSE,0,"low",2,"middle","low","low",2,"LC"
"69",FALSE,1,"moderate",2,"middle","high","moderate",1,"NC"
"70",FALSE,1,"moderate",2,"new","low","high",2,"NC"
"71",FALSE,0,"moderate",2,"new","low","moderate",2,"LC"
"72",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"73",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"74",FALSE,0,"low",2,"middle","low","low",2,"LC"
"75",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"76",FALSE,1,"high",2,"old","high","low",3,"HC"
"77",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"78",FALSE,1,"low",2,"middle","low","high",2,"NC"
"79",FALSE,1,"high",2,"middle","low","moderate",2,"NC"
"80",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"81",FALSE,1,"high",2,"new","high","low",3,"HC"
"82",FALSE,1,"high",2,"new","high","low",3,"HC"
"83",FALSE,1,"high",2,"new","low","low",2,"NC"
"84",FALSE,0,"high",2,"new","moderate","moderate",2,"NC"
"85",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"86",FALSE,1,"moderate",2,"middle","high","low",1,"NC"
"87",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"88",TRUE,0,"low",3,"middle","high","high",3,"NC"
"89",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"90",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"91",FALSE,1,"low",2,"middle","high","high",1,"NC"
"92",FALSE,1,"high",2,"new","high","high",3,"HC"
"93",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"94",FALSE,1,"low",2,"middle","high","high",1,"NC"
"95",FALSE,1,"moderate",2,"new","moderate","low",1,"NC"
"96",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"97",FALSE,1,"moderate",2,"new","moderate","low",2,"NC"
"98",FALSE,1,"high",2,"old","high","moderate",3,"HC"
"99",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"100",FALSE,1,"low",2,"new","low","high",2,"LC"
"101",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"102",FALSE,1,"moderate",2,"old","moderate","high",2,"NC"
"103",FALSE,0,"low",2,"middle","high","high",1,"NC"
"104",FALSE,1,"moderate",2,"middle","high","high",1,"NC"
"105",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"106",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"107",FALSE,0,"low",2,"new","low","low",2,"LC"
"108",FALSE,1,"low",2,"middle","low","high",2,"NC"
"109",FALSE,1,"low",2,"middle","low","high",2,"NC"
"110",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"111",FALSE,0,"high",2,"middle","high","high",3,"HC"
"112",FALSE,0,"low",2,"new","low","low",2,"LC"
"113",FALSE,1,"high",2,"new","high","high",3,"HC"
"114",FALSE,1,"moderate",2,"new","low","high",2,"NC"
"115",FALSE,1,"high",2,"new","high","low",3,"HC"
"116",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"117",FALSE,0,"high",2,"new","moderate","high",3,"NC"
"118",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"119",FALSE,0,"low",2,"new","low","low",2,"LC"
"120",FALSE,1,"high",2,"new","low","high",2,"NC"
"121",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"122",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"123",FALSE,1,"high",2,"old","high","low",3,"HC"
"124",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"125",FALSE,0,"low",2,"middle","low","low",2,"LC"
"126",FALSE,0,"low",2,"middle","high","high",1,"NC"
"127",FALSE,1,"high",2,"middle","high","moderate",3,"HC"
"128",FALSE,1,"high",2,"new","moderate","high",3,"NC"
"129",FALSE,1,"high",2,"middle","high","high",3,"HC"
"130",FALSE,1,"high",2,"new","high","high",3,"HC"
"131",FALSE,1,"high",2,"new","moderate","low",3,"NC"
"132",FALSE,1,"moderate",2,"new","moderate","moderate",3,"NC"
"133",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"134",FALSE,1,"high",2,"middle","high","high",3,"HC"
"135",FALSE,1,"moderate",2,"old","moderate","low",3,"HC"
"136",FALSE,1,"high",2,"middle","moderate","high",3,"HC"
"137",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"138",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"139",FALSE,1,"high",2,"middle","moderate","low",3,"HC"
"140",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"141",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"142",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"143",FALSE,1,"moderate",2,"new","moderate","high",2,"NC"
"144",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"145",FALSE,0,"low",2,"new","low","high",2,"LC"
"146",FALSE,1,"moderate",2,"new","low","high",2,"NC"
"147",FALSE,1,"high",2,"new","high","high",3,"HC"
"148",FALSE,1,"high",2,"new","high","high",3,"HC"
"149",FALSE,0,"moderate",2,"new","moderate","low",3,"NC"
"150",FALSE,1,"high",2,"middle","high","low",3,"HC"
"151",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"152",FALSE,1,"moderate",2,"new","moderate","low",2,"NC"
"153",FALSE,1,"low",2,"new","high","low",1,"NC"
"154",FALSE,1,"high",2,"middle","high","high",3,"HC"
"155",FALSE,1,"low",2,"middle","high","high",1,"NC"
"156",FALSE,1,"high",2,"middle","moderate","high",1,"NC"
"157",FALSE,1,"high",2,"new","high","low",3,"HC"
"158",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"159",FALSE,1,"high",2,"new","high","low",3,"HC"
"160",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"161",FALSE,1,"high",2,"middle","high","low",3,"HC"
"162",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"163",FALSE,0,"low",2,"middle","low","low",2,"LC"
"164",FALSE,1,"high",2,"new","moderate","moderate",2,"NC"
"165",FALSE,1,"moderate",2,"new","moderate","high",2,"NC"
"166",FALSE,0,"low",2,"middle","low","low",2,"LC"
"167",FALSE,1,"high",2,"old","high","high",3,"HC"
"168",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"169",FALSE,1,"low",2,"new","high","high",1,"NC"
"170",FALSE,0,"low",2,"new","low","low",2,"LC"
"171",FALSE,1,"moderate",2,"middle","moderate","high",2,"NC"
"172",FALSE,1,"high",2,"new","moderate","low",2,"NC"
"173",FALSE,1,"high",2,"middle","high","high",3,"HC"
"174",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"175",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"176",FALSE,1,"moderate",2,"new","moderate","high",2,"NC"
"177",FALSE,1,"moderate",2,"middle","low","high",2,"NC"
"178",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"179",FALSE,1,"moderate",2,"new","high","low",1,"NC"
"180",FALSE,0,"high",2,"new","low","high",2,"NC"
"181",FALSE,1,"high",2,"new","high","high",3,"HC"
"182",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"183",FALSE,1,"low",2,"old","high","low",1,"NC"
"184",FALSE,1,"moderate",2,"new","moderate","low",1,"NC"
"185",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"186",FALSE,1,"moderate",2,"new","moderate","high",2,"NC"
"187",FALSE,1,"high",2,"new","high","low",3,"HC"
"188",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"189",FALSE,1,"high",2,"new","high","low",3,"HC"
"190",FALSE,1,"high",2,"middle","high","low",3,"HC"
"191",FALSE,0,"low",2,"new","high","low",1,"LC"
"192",FALSE,1,"low",2,"new","low","low",2,"LC"
"193",FALSE,0,"low",2,"middle","low","high",2,"LC"
"194",FALSE,0,"low",2,"new","high","high",1,"LC"
"195",FALSE,1,"moderate",2,"new","moderate","high",1,"NC"
"196",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"197",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"198",FALSE,1,"moderate",2,"new","high","low",1,"NC"
"199",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"200",FALSE,1,"moderate",2,"new","moderate","moderate",1,"NC"
"201",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"202",FALSE,1,"moderate",2,"new","moderate","moderate",1,"NC"
"203",FALSE,0,"high",2,"new","low","high",2,"NC"
"204",FALSE,1,"high",2,"middle","high","high",3,"HC"
"205",FALSE,1,"low",2,"old","high","moderate",1,"NC"
"206",FALSE,1,"high",2,"middle","high","high",3,"HC"
"207",FALSE,1,"high",2,"new","high","high",3,"HC"
"208",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"209",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"210",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"211",FALSE,0,"high",2,"new","high","high",3,"NC"
"212",FALSE,0,"high",2,"middle","low","low",2,"NC"
"213",FALSE,1,"high",2,"middle","high","moderate",3,"HC"
"214",FALSE,0,"high",2,"new","high","low",3,"NC"
"215",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"216",FALSE,1,"high",2,"new","low","high",2,"NC"
"217",FALSE,1,"moderate",2,"middle","moderate","high",2,"NC"
"218",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"219",FALSE,1,"high",2,"new","high","low",3,"HC"
"220",FALSE,1,"moderate",2,"new","low","high",2,"NC"
"221",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"222",FALSE,0,"low",2,"middle","low","low",2,"LC"
"223",FALSE,0,"high",2,"new","low","low",2,"NC"
"224",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"225",FALSE,1,"high",2,"new","high","high",3,"HC"
"226",FALSE,1,"high",2,"middle","high","moderate",3,"HC"
"227",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"228",FALSE,1,"moderate",2,"new","moderate","high",3,"NC"
"229",FALSE,1,"high",2,"old","low","moderate",2,"NC"
"230",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"231",FALSE,1,"moderate",2,"middle","high","low",1,"NC"
"232",FALSE,1,"moderate",2,"new","moderate","low",1,"NC"
"233",FALSE,1,"high",2,"new","moderate","high",1,"NC"
"234",FALSE,0,"high",2,"new","low","high",2,"NC"
"235",FALSE,1,"high",2,"middle","moderate","moderate",2,"NC"
"236",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"237",FALSE,1,"high",2,"new","low","moderate",2,"NC"
"238",FALSE,1,"high",2,"new","high","low",3,"HC"
"239",FALSE,0,"moderate",2,"new","high","moderate",1,"NC"
"240",FALSE,1,"high",2,"middle","moderate","high",1,"NC"
"241",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"242",FALSE,1,"moderate",2,"new","moderate","moderate",1,"NC"
"243",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"244",FALSE,0,"high",2,"middle","high","high",3,"HC"
"245",FALSE,1,"high",2,"new","moderate","moderate",3,"NC"
"246",FALSE,1,"moderate",2,"middle","moderate","moderate",3,"NC"
"247",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"248",FALSE,1,"moderate",2,"new","low","high",2,"NC"
"249",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"250",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"251",FALSE,1,"high",2,"new","high","high",3,"HC"
"252",FALSE,1,"high",2,"new","high","high",3,"HC"
"253",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"254",FALSE,1,"high",2,"old","high","moderate",3,"HC"
"255",FALSE,1,"high",2,"middle","low","low",2,"NC"
"256",FALSE,1,"high",2,"middle","high","high",3,"HC"
"257",FALSE,1,"high",2,"new","high","high",3,"HC"
"258",FALSE,1,"high",2,"new","moderate","high",3,"NC"
"259",FALSE,1,"high",2,"new","moderate","low",3,"NC"
"260",FALSE,1,"moderate",2,"new","high","low",1,"NC"
"261",FALSE,0,"low",2,"middle","low","low",2,"LC"
"262",FALSE,1,"high",2,"new","high","high",3,"HC"
"263",FALSE,1,"high",2,"middle","moderate","high",3,"HC"
"264",FALSE,1,"high",2,"new","low","moderate",2,"NC"
"265",FALSE,1,"low",2,"new","high","low",1,"NC"
"266",FALSE,0,"high",2,"middle","high","high",3,"HC"
"267",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"268",FALSE,0,"low",2,"middle","high","high",1,"NC"
"269",FALSE,0,"low",2,"middle","low","low",2,"LC"
"270",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"271",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"272",FALSE,1,"high",2,"middle","moderate","moderate",2,"NC"
"273",FALSE,1,"high",2,"new","low","low",2,"NC"
"274",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"275",FALSE,1,"high",2,"middle","moderate","high",2,"NC"
"276",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"277",FALSE,1,"moderate",2,"middle","moderate","moderate",2,"NC"
"278",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"279",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"280",FALSE,0,"low",2,"new","low","high",2,"LC"
"281",FALSE,1,"moderate",2,"middle","moderate","moderate",2,"NC"
"282",FALSE,1,"high",2,"middle","moderate","high",2,"NC"
"283",FALSE,0,"low",2,"new","high","low",1,"LC"
"284",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"285",FALSE,0,"high",2,"new","low","high",2,"NC"
"286",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"287",FALSE,1,"high",2,"old","high","moderate",3,"HC"
"288",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"289",FALSE,0,"high",2,"new","high","low",3,"NC"
"290",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"291",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"292",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"293",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"294",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"295",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"296",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"297",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"298",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"299",FALSE,1,"high",2,"new","moderate","moderate",1,"NC"
"300",FALSE,1,"high",2,"new","moderate","moderate",1,"NC"
"301",FALSE,1,"moderate",2,"new","moderate","high",1,"NC"
"302",FALSE,1,"high",2,"old","moderate","moderate",1,"NC"
"303",FALSE,0,"low",2,"middle","low","low",2,"LC"
"304",FALSE,1,"high",2,"new","low","moderate",2,"NC"
"305",FALSE,1,"high",2,"new","high","high",3,"HC"
"306",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"307",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"308",FALSE,0,"low",2,"new","high","moderate",1,"LC"
"309",FALSE,0,"moderate",2,"new","moderate","high",1,"LC"
"310",FALSE,0,"moderate",2,"middle","low","high",2,"NC"
"311",FALSE,0,"low",2,"middle","low","low",2,"LC"
"312",FALSE,0,"low",2,"middle","low","low",2,"LC"
"313",FALSE,1,"low",2,"new","low","low",2,"LC"
"314",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"315",FALSE,1,"moderate",2,"new","moderate","low",1,"NC"
"316",FALSE,0,"low",2,"middle","high","high",1,"NC"
"317",TRUE,1,"low",3,"old","low","low",3,"NC"
"318",FALSE,1,"high",2,"new","high","low",3,"HC"
"319",FALSE,1,"moderate",2,"middle","moderate","high",3,"NC"
"320",FALSE,1,"high",2,"new","high","high",3,"HC"
"321",FALSE,0,"high",2,"middle","high","low",3,"HC"
"322",FALSE,1,"low",2,"new","high","moderate",1,"NC"
"323",FALSE,1,"low",2,"old","low","moderate",2,"NC"
"324",FALSE,1,"high",2,"middle","high","high",3,"HC"
"325",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"326",FALSE,1,"high",2,"middle","high","high",3,"HC"
"327",FALSE,0,"low",2,"middle","high","high",1,"NC"
"328",FALSE,0,"high",2,"new","high","high",3,"NC"
"329",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"330",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"331",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"332",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"333",FALSE,1,"high",2,"new","high","high",3,"HC"
"334",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"335",FALSE,1,"high",2,"new","high","high",3,"HC"
"336",FALSE,1,"low",2,"middle","low","high",2,"NC"
"337",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"338",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"339",FALSE,1,"high",2,"new","high","high",3,"HC"
"340",FALSE,1,"high",2,"new","moderate","high",3,"NC"
"341",FALSE,1,"moderate",2,"new","moderate","moderate",3,"NC"
"342",FALSE,1,"moderate",2,"new","moderate","high",3,"NC"
"343",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"344",FALSE,1,"moderate",2,"new","moderate","low",2,"NC"
"345",FALSE,1,"high",2,"middle","high","high",3,"HC"
"346",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"347",FALSE,0,"moderate",2,"new","moderate","low",2,"NC"
"348",FALSE,0,"moderate",2,"new","low","high",2,"LC"
"349",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"350",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"351",FALSE,1,"moderate",2,"new","moderate","low",2,"NC"
"352",FALSE,1,"high",2,"middle","moderate","high",2,"NC"
"353",FALSE,1,"moderate",2,"middle","moderate","high",2,"NC"
"354",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"355",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"356",FALSE,1,"moderate",2,"new","moderate","moderate",2,"NC"
"357",FALSE,1,"high",2,"old","high","moderate",3,"HC"
"358",FALSE,1,"high",2,"old","moderate","moderate",3,"HC"
"359",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"360",FALSE,0,"moderate",2,"new","high","low",1,"NC"
"361",FALSE,0,"high",2,"middle","low","high",2,"NC"
"362",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"363",FALSE,0,"low",2,"new","low","high",2,"LC"
"364",FALSE,1,"high",2,"middle","high","low",3,"HC"
"365",FALSE,1,"moderate",2,"middle","moderate","low",3,"NC"
"366",FALSE,1,"high",2,"new","moderate","moderate",3,"NC"
"367",FALSE,1,"moderate",2,"new","moderate","high",3,"NC"
"368",FALSE,1,"high",2,"new","high","high",3,"HC"
"369",FALSE,1,"high",2,"new","moderate","high",3,"NC"
"370",FALSE,1,"low",2,"middle","high","low",1,"NC"
"371",FALSE,1,"moderate",2,"new","moderate","high",1,"NC"
"372",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"373",FALSE,1,"moderate",2,"new","moderate","high",2,"NC"
"374",FALSE,1,"moderate",2,"new","moderate","low",2,"NC"
"375",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"376",FALSE,1,"high",2,"new","moderate","high",1,"NC"
"377",FALSE,1,"moderate",2,"middle","high","low",1,"NC"
"378",FALSE,1,"high",2,"middle","high","high",3,"HC"
"379",FALSE,1,"high",2,"middle","high","low",3,"HC"
"380",FALSE,0,"low",2,"new","moderate","low",3,"NC"
"381",FALSE,1,"high",2,"new","high","high",3,"HC"
"382",FALSE,1,"moderate",2,"new","low","moderate",2,"NC"
"383",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"384",FALSE,1,"high",2,"middle","high","low",3,"HC"
"385",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"386",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"387",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"388",FALSE,0,"low",2,"new","low","low",2,"LC"
"389",FALSE,1,"low",2,"new","moderate","high",2,"NC"
"390",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"391",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"392",FALSE,1,"high",2,"middle","high","high",3,"HC"
"393",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"394",FALSE,1,"moderate",2,"new","high","moderate",1,"NC"
"395",FALSE,1,"moderate",2,"new","moderate","low",1,"NC"
"396",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"397",FALSE,1,"low",2,"new","high","low",1,"NC"
"398",FALSE,0,"low",2,"middle","high","low",1,"NC"
"399",FALSE,1,"moderate",2,"middle","moderate","high",1,"NC"
"400",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"401",FALSE,0,"high",2,"new","high","low",3,"NC"
"402",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"403",FALSE,1,"high",2,"new","high","low",3,"HC"
"404",FALSE,1,"high",2,"old","high","high",3,"HC"
"405",FALSE,1,"high",2,"middle","moderate","moderate",3,"HC"
"406",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"407",FALSE,1,"low",2,"middle","high","high",1,"NC"
"408",FALSE,1,"high",2,"middle","high","high",3,"HC"
"409",FALSE,1,"high",2,"middle","high","low",3,"HC"
"410",FALSE,1,"high",2,"new","low","moderate",2,"NC"
"411",FALSE,1,"moderate",2,"middle","low","low",2,"NC"
"412",FALSE,1,"high",2,"middle","high","high",3,"HC"
"413",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"414",FALSE,0,"low",2,"middle","moderate","high",3,"NC"
"415",FALSE,1,"moderate",2,"new","moderate","low",3,"NC"
"416",FALSE,0,"low",2,"middle","low","low",2,"LC"
"417",FALSE,1,"high",2,"new","high","low",3,"HC"
"418",FALSE,1,"moderate",2,"middle","moderate","low",3,"NC"
"419",FALSE,1,"moderate",2,"new","high","low",1,"NC"
"420",FALSE,1,"high",2,"middle","high","low",3,"HC"
"421",FALSE,0,"low",2,"middle","high","high",1,"NC"
"422",FALSE,1,"high",2,"middle","high","high",3,"HC"
"423",FALSE,1,"high",2,"old","high","low",3,"HC"
"424",FALSE,1,"low",2,"new","high","high",1,"NC"
"425",FALSE,1,"moderate",2,"new","moderate","moderate",1,"NC"
"426",FALSE,1,"moderate",2,"middle","moderate","low",1,"NC"
"427",FALSE,1,"moderate",2,"middle","high","low",1,"NC"
"428",FALSE,1,"moderate",2,"middle","low","moderate",2,"NC"
"429",FALSE,0,"low",2,"middle","moderate","high",2,"NC"
"430",FALSE,0,"low",2,"middle","low","low",2,"LC"
"431",FALSE,1,"high",2,"new","moderate","high",2,"NC"
"432",FALSE,1,"high",2,"middle","high","moderate",3,"HC"
"433",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"434",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"435",FALSE,1,"high",2,"new","high","moderate",3,"HC"
"436",FALSE,1,"high",2,"middle","moderate","low",3,"HC"
"437",FALSE,1,"moderate",2,"new","high","high",1,"NC"
"438",FALSE,1,"low",2,"old","low","moderate",2,"NC"
"439",FALSE,1,"moderate",2,"middle","moderate","low",2,"NC"
"440",FALSE,0,"moderate",2,"new","low","moderate",2,"LC"
"441",FALSE,1,"high",2,"new","high","low",3,"HC"
"442",FALSE,0,"high",2,"new","high","moderate",3,"NC"
"443",FALSE,1,"moderate",2,"new","moderate","high",3,"NC"
"444",FALSE,1,"moderate",2,"new","low","low",2,"NC"
"445",FALSE,1,"moderate",2,"new","low","low",2,"NC"
